dataset,variable,n,mean,std,min,p05,p25,median,p75,p95,max,iqr
SynNetQoS_all,rsrp_dbm,50000,-97.234241,18.845134835656083,-135.0,-127.42,-110.3,-98.37,-85.4,-62.77950000000004,-50.0,24.89999999999999
SynNetQoS_all,download_mbps,50000,55.96284800000001,96.10726346497808,0.0,0.0,3.97,15.89,63.552499999999995,247.59099999999992,1035.88,59.582499999999996
SynNetQoS_all,upload_mbps,50000,6.4569567999999995,15.408663146844804,0.0,0.0,0.28,1.01,4.92,33.15049999999996,255.5,4.64
SynNetQoS_all,jitter_ms,50000,0.2997456,0.2732867230461441,0.01,0.04,0.11,0.22,0.4,0.85,2.99,0.29000000000000004
SynNetQoS_4G,rsrp_dbm,12390,-96.55002744148507,18.41852205922855,-135.0,-125.68,-109.49,-97.54,-84.99,-62.81700000000004,-50.0,24.5
SynNetQoS_4G,download_mbps,12390,14.136877320419694,19.42365581379095,0.0,0.0,1.62,5.725,19.15,57.525499999999994,131.43,17.529999999999998
SynNetQoS_4G,upload_mbps,12390,1.7678288942695723,2.728613284108594,0.0,0.0,0.22,0.64,2.06,8.07,19.99,1.84
SynNetQoS_4G,jitter_ms,12390,0.4235238095238095,0.34520028619321214,0.02,0.08,0.18,0.32,0.56,1.13,2.99,0.38000000000000006
SynNetQoS_5G_NSA,rsrp_dbm,19650,-97.73516437659033,18.700138163463954,-135.0,-127.7555,-110.72,-98.77,-85.7025,-64.5,-50.0,25.0175
SynNetQoS_5G_NSA,download_mbps,19650,60.500396437659035,91.65507747841643,0.0,0.0,5.42,21.0,79.22,260.2144999999999,763.67,73.8
SynNetQoS_5G_NSA,upload_mbps,19650,6.497807124681934,13.84413749313591,0.0,0.0,0.26,0.99,5.63,33.335499999999996,195.52,5.37
SynNetQoS_5G_NSA,jitter_ms,19650,0.3050671755725191,0.2576095358816544,0.01,0.05,0.12,0.23,0.41,0.83,2.49,0.29
SynNetQoS_5G_SA,rsrp_dbm,17960,-97.15819766146993,19.274288922335877,-135.0,-128.10049999999998,-110.3725,-98.51,-85.3475,-60.95,-50.0,25.025000000000006
SynNetQoS_5G_SA,download_mbps,17960,79.85265590200446,120.26488427867291,0.0,0.0,6.6975,27.725,105.22,332.02149999999995,1035.88,98.5225
SynNetQoS_5G_SA,upload_mbps,17960,9.647134187082406,20.514148311884725,0.0,0.0,0.4,1.61,8.772499999999999,48.93249999999996,255.5,8.372499999999999
SynNetQoS_5G_SA,jitter_ms,17960,0.20853285077951006,0.18492164665812638,0.01,0.02,0.08,0.15,0.28,0.5804999999999927,1.67,0.2
SynNetQoS_controlled_5G_subset,rsrp_dbm,6604,-89.20075560266505,14.53032788970687,-109.99,-107.897,-100.7825,-92.07,-79.98,-60.35,-50.0,20.802499999999995
SynNetQoS_controlled_5G_subset,download_mbps,6604,118.40415960024227,141.89193337246786,0.0,3.84,21.0,63.545,160.01749999999998,425.76349999999985,1031.73,139.01749999999998
SynNetQoS_controlled_5G_subset,upload_mbps,6604,12.36570866141732,23.200426099371693,0.0,0.14,0.5,2.525,13.3125,58.25349999999983,249.95,12.8125
SynNetQoS_controlled_5G_subset,jitter_ms,6604,0.0976832222895215,0.06331274919290286,0.01,0.02,0.05,0.09,0.13,0.22,0.75,0.08
Vienna_phone_LTE,rsrp_dbm,1183683,-88.20850561266016,10.771206106016946,-131.60000610351562,-105.0999984741211,-96.4000015258789,-88.5,-80.19999694824219,-70.4000015258789,-48.400001525878906,16.20000457763672
Vienna_phone_LTE,download_mbps,1156170,28.67732937112676,37.26945652236583,0.0,0.0,0.5,10.600000381469727,47.900001525878906,107.0999984741211,299.5,47.400001525878906
Vienna_phone_LTE,upload_mbps,1155270,9.890250937676775,17.24338829911466,0.0,0.0,0.20000000298023224,0.6000000238418579,10.199999809265137,49.0,97.4000015258789,9.999999806284904
Vienna_phone_LTE,jitter_ms,0,,,,,,,,,,
Vienna_phone_5G_serving_cell,rsrp_dbm,200129,-93.15614528629035,11.011102802047178,-138.1,-111.2,-101.0,-93.0,-85.9,-74.4,-52.9,15.099999999999994
Vienna_phone_5G_serving_cell,download_mbps,199861,156.4054432503771,221.78139550077825,0.0,0.0,0.699999988079071,31.100000381469727,236.8000030517578,645.7000122070312,1291.5999755859375,236.10000306367874
Vienna_phone_5G_serving_cell,upload_mbps,199861,9.848624791873958,21.8918536589517,0.0,0.0,0.0,0.30000001192092896,1.399999976158142,67.4000015258789,120.0,1.399999976158142
Vienna_phone_5G_serving_cell,jitter_ms,0,,,,,,,,,,
Campus_5G_QoS,rsrp_dbm,0,,,,,,,,,,
Campus_5G_QoS,download_mbps,302,73.2565106284545,31.13600249873087,14.8505927315176,36.57514956149574,47.412199553254325,64.0050552491757,95.0539819903617,136.8758184688057,142.303634237397,47.64178243710738
Campus_5G_QoS,upload_mbps,302,10.055688030131815,7.505714618895236,0.233518582540407,0.5642646791067558,3.8091098633527976,9.157868687412895,14.869319995163025,24.57906867713991,35.8507114634667,11.060210131810226
Campus_5G_QoS,jitter_ms,302,0.25670787122974936,0.39146901001045004,0.0617368102390917,0.07621728759786663,0.12364784260518699,0.188895575126735,0.27885515873729627,0.508694619768866,5.24429452464228,0.15520731613210928
