Run_ID,Generator_Seed,Num_Sessions,Session_Length,Latency (ms),Drop Rate (%),Download Speed (Mbps)
0,0,5000,10,135.7577808,2.1239999999999997,53.669127800000005
1,1,5000,10,133.891884,2.04,54.59299059999999
2,2,5000,10,133.56526660000003,1.928,54.54810140000001
3,3,5000,10,135.62145339999998,2.0420000000000003,54.17672220000001
4,4,5000,10,132.3530188,2.076,55.902775600000005
5,5,5000,10,133.09007640000002,2.0140000000000002,54.68482699999999
6,6,5000,10,135.5880056,2.15,53.24800439999999
7,7,5000,10,133.589114,1.992,54.90807380000001
8,8,5000,10,134.4575038,2.226,54.01214100000001
9,9,5000,10,132.4308386,1.986,55.7753912
10,10,5000,10,135.0377004,2.244,55.13072539999999
11,11,5000,10,132.60507460000002,2.02,54.2939388
12,12,5000,10,132.393873,2.012,55.360449
13,13,5000,10,134.8650756,2.06,53.973612599999996
14,14,5000,10,133.706895,2.084,55.499418
15,15,5000,10,134.4045434,2.284,55.050898
16,16,5000,10,134.5398524,2.068,54.186804
17,17,5000,10,133.3733212,1.892,54.50569199999999
18,18,5000,10,134.7927266,2.144,55.002173199999994
19,19,5000,10,133.78652,1.984,54.3481622
