source,load_label,kpi,n,mean,median,std,q1,q3,min,max
5G-LENA/ns-3,high,throughput_mbps,20,177.5793814,177.579243,0.0001739081427264852,177.579243,177.579589,177.579243,177.579589
5G-LENA/ns-3,high,mean_delay_ms,20,5256.4100001,5256.4098165,0.006031782767840362,5256.40593825,5256.413621000001,5256.396712,5256.421786
5G-LENA/ns-3,high,mean_jitter_ms,20,0.073507,0.073507,0.0,0.073507,0.073507,0.073507,0.073507
5G-LENA/ns-3,high,packet_loss_ratio,20,0.42194797575249804,0.42194842619838313,5.660130583756881e-07,0.4219473000836703,0.42194842619838313,0.4219473000836703,0.42194842619838313
5G-LENA/ns-3,low,throughput_mbps,20,20.479653999999996,20.479654,3.645007325606123e-15,20.479654,20.479654,20.479654,20.479654
5G-LENA/ns-3,low,mean_delay_ms,20,0.921485,0.921485,0.0,0.921485,0.921485,0.921485,0.921485
5G-LENA/ns-3,low,mean_jitter_ms,20,2.7e-05,2.7e-05,0.0,2.7e-05,2.7e-05,2.7e-05,2.7e-05
5G-LENA/ns-3,low,packet_loss_ratio,20,1.689189189189189e-05,1.6891891891891892e-05,3.476149869543193e-21,1.6891891891891892e-05,1.6891891891891892e-05,1.6891891891891892e-05,1.6891891891891892e-05
5G-LENA/ns-3,medium,throughput_mbps,20,102.39654100000001,102.396541,1.4580029302424492e-14,102.396541,102.396541,102.396541,102.396541
5G-LENA/ns-3,medium,mean_delay_ms,20,0.8965182500000001,0.896518,5.501196041935126e-07,0.896518,0.896518,0.896518,0.89652
5G-LENA/ns-3,medium,mean_jitter_ms,20,0.11999799999999997,0.119998,2.8476619731297836e-17,0.119998,0.119998,0.119998,0.119998
5G-LENA/ns-3,medium,packet_loss_ratio,20,3.378378378378378e-05,3.3783783783783784e-05,6.952299739086386e-21,3.3783783783783784e-05,3.3783783783783784e-05,3.3783783783783784e-05,3.3783783783783784e-05
SynNetQoS,high,throughput_mbps,2202,253.89907356948228,229.07,168.93462213202102,116.7475,347.23249999999996,0.57,1031.73
SynNetQoS,high,mean_delay_ms,2202,67.18176203451408,66.945,33.72489202773351,40.57,90.7775,3.0,151.78
SynNetQoS,high,mean_jitter_ms,2202,0.09786103542234333,0.09,0.062157285642885404,0.05,0.13,0.01,0.43
SynNetQoS,high,packet_loss_ratio,0,,,,,,,
SynNetQoS,low,throughput_mbps,2201,14.837705588368923,11.26,11.127172448013368,5.59,22.83,0.0,43.43
SynNetQoS,low,mean_delay_ms,2201,65.31572921399363,64.38,34.017708213748506,38.23,89.03,3.0,152.44
SynNetQoS,low,mean_jitter_ms,2201,0.09547024079963652,0.08,0.06293553086933983,0.05,0.13,0.01,0.49
SynNetQoS,low,packet_loss_ratio,0,,,,,,,
SynNetQoS,medium,throughput_mbps,2201,86.41413902771468,77.98,40.26723250639779,53.93,113.83,6.04,191.12
SynNetQoS,medium,mean_delay_ms,2201,68.25436165379372,69.05,34.491292141694146,40.02,93.34,3.0,153.22
SynNetQoS,medium,mean_jitter_ms,2201,0.09971830985915493,0.09,0.06477452274169879,0.05,0.14,0.01,0.75
SynNetQoS,medium,packet_loss_ratio,0,,,,,,,
